"Season","Class","Motorcycle","Team","Number","Race","Win","Podium","Pole","FLap","Pts","Plcd","WCh"
"2009","125cc","Aprilia","WTR San Marino Team","14","16","0","0","0","0","32.5","20th","0"
"2010","125cc","Aprilia","WTR San Marino Team","14","17","0","0","0","1","77","11th","0"
"2011","125cc","Derbi","Avant-AirAsia-Ajo","5","17","1","11","4","4","262","2nd","0"
"2012","Moto2","Motobi","JiR Moto2","5","17","0","0","0","0","95","10th","0"
"2013","Moto2","Suter","Came IodaRacing Project","5","17","0","2","0","2","141","9th","0"
"2014","Moto2","Caterham Suter","AirAsia Caterham","5","18","0","4","1","0","146","6th","0"
"2015","Moto2","Kalex","Ajo Motorsport","5","18","8","14","7","1","352","1st","1"
"2016","Moto2","Kalex","Ajo Motorsport","5","18","7","10","7","4","276","1st","1"
"2017","MotoGP","Yamaha","Monster Yamaha Tech 3","5","18","0","3","2","4","174","6th","0"
"2018","MotoGP","Yamaha","Monster Yamaha Tech 3","5","18","0","3","2","0","158","6th","0"
"2019","MotoGP","KTM","Red Bull KTM Factory Racing","5","1","0","0","0","0","1*","15th*","0"
"Total","","","","","175","16","47","23","16","1714.5","","2"
