"Year","Division","League","Regular Season","Playoffs","Open Cup"
"2009","4","NPSL","3rd, Southeast","Did not qualify","Did not enter"
"2010","4","NPSL","1st, Southeast","National Finals","Did not enter"
"2011","4","NPSL","3rd, Southeast","Did not qualify","1st Round"
"2012","4","NPSL","1st, Southeast, West","National Finals","Did not enter"
"2013","4","NPSL","1st, Southeast","South Regional Finals","1st Round"
"2014","4","NPSL","1st, Southeast","National Finals","3rd Round"
"2015","4","NPSL","1st, Southeast","National Finals","3rd Round"
"2016","4","NPSL","1st, Southeast","National Semi-Finals","3rd Round"
"2017","4","NPSL","2nd, Southeast West","Southeast Quarterfinals","1st Round"
"2018","4","NPSL","1st, Southeast","Southeast Finals","Did not enter"
