"#","Date","Venue","Opponent","Result","Record","Competition"
"1","6 November 2003","Pakhtakor Stadium, Tashkent, Uzbekistan","Uzbekistan","1–4","0","2004 AFC Asian Cup qualification"
"2","8 November 2003","Pakhtakor Stadium, Tashkent, Uzbekistan","Tajikistan","0–0","0","2004 AFC Asian Cup qualification"
"3","10 November 2003","Pakhtakor Stadium, Tashkent, Uzbekistan","Thailand","2–1","0","2004 AFC Asian Cup qualification"
"4","4 December 2003","National Stadium, Tokyo, Japan","South Korea","1–3","0","2003 EAFF Championship"
"5","18 February 2004","Darulmakmur Stadium, Penang, Malaysia","Malaysia","3–1","0","2006 FIFA World Cup qualification"
"6","30 November 2004","Jalan Besar Stadium, Singapore","Singapore","0–0 (6–5 PSO)","0","Friendly"
"7","2 December 2004","Jalan Besar Stadium, Singapore","Myanmar","2–2","0","Friendly"
"8","1 February 2006","Hong Kong Stadium, Hong Kong","Croatia","0–4","0","2006 Carlsberg Cup"
"9","15 February 2006","Hong Kong Stadium, Hong Kong","Singapore","1–1","0","Friendly"
"10","18 February 2006","Hong Kong Stadium, Hong Kong","India","2–2","0","Friendly"
"11","12 August 2006","Hong Kong Stadium, Hong Kong","Singapore","1–2","0","Friendly"
"12","16 August 2006","Pakhtakor Markaziy Stadium, Tashkent, Uzbekistan","Uzbekistan","2–2","2","2007 AFC Asian Cup qualification"
"13","6 September 2006","Hong Kong Stadium, Hong Kong","Uzbekistan","0–0","0","2007 AFC Asian Cup qualification"
"14","6 September 2006","Al Gharrafa Stadium, Doha, Qatar","Qatar","0–2","0","2007 AFC Asian Cup qualification"
"15","15 November 2006","Mong Kok Stadium, Hong Kong","Bangladesh","2–0","0","2007 AFC Asian Cup qualification"
"16","1 June 2007","Gelora Bung Karno Stadium, Jakarta, Indonesia","Indonesia","0–3","0","Friendly"
"17","10 June 2007","So Kon Po Recreation Ground, Hong Kong","Macau","2–1","0","2007 Hong Kong–Macau Interport"
"18","30 September 2011","Kaohsiung National Stadium, Kaohsiung, Taiwan","Philippines","3–3","0","2011 Long Teng Cup"
"19","2 October 2011","Kaohsiung National Stadium, Kaohsiung, Taiwan","Macau","5–1","2","2011 Long Teng Cup"
"20","4 October 2011","Kaohsiung National Stadium, Kaohsiung, Taiwan","Chinese Taipei","6–0","0","2011 Long Teng Cup"
"21","16 October 2012","Mong Kok Stadium, Mong Kok, Kowloon","Malaysia","0–3","0","Friendly"
