"Pos","No","Driver","Car","Entrant","Qual","Gap"
"1","1","Australia John McCormack","McLaren M23 / Leyland 5.0L V8","J McCormack","1:00.9","—"
"2","2","New Zealand Graham McRae","McRae GM3 Chevrolet 5.0L V8","Thomson Motor Auctions","1:01.3","+0.4"
"3","11","Australia Vern Schuppan","Elfin MR8 Chevrolet 5.0L V8","Ansett Team Elfin","1:01.3","+0.4"
"4","19","Australia Alan Hamilton","Lola T430 Chevrolet 5.0L V8","Porsche Cars Australia","1:02.0","+1.1"
"5","24","Australia Jon Davison","Lola T332 Chevrolet 5.0L V8","Ranger Truck Rentals","1:02.3","+1.4"
"6","10","Australia Chris Milton","Lola T332 Chevrolet 5.0L V8","Shellsport","1:03.3","+2.4"
"7","3","Australia Kevin Bartlett","Brabham BT43 Chevrolet 5.0L V8","Thomson Motor Auctions","1:03.5","+2.6"
"8","40","Australia Chas Talbot","Lola T332 Chevrolet 5.0L V8","C Talbot","1:04.0","+3.1"
"9","15","Australia Terry Hook","Lola T332 Chevrolet 5.0L V8","T Hook","1:04.7","+3.8"
"10","84","Australia Alfredo Costanzo","Lola T400B Chevrolet 5.0L V8","Auto Sprint Motors","1:04.8","+3.9"
"11","33","Australia John Briggs","Matich A51 Repco Holden 5.0L V8","John Roberts Motors Pty Ltd","1:04.8","+3.9"
"12","5","Australia Peter Middleton","Elfin MR5 Repco Holden 5.0L V8","P Middleton","1:07.0","+6.1"
"13","12","Australia Garrie Cooper","Elfin MR8 Chevrolet 5.0L V8","Ansett Team Elfin","1:09.1","+8.2"
"14","21","Australia Peter Edwards","Lola T332 Chevrolet 5.0L V8","Shellsport","1:10.2","+9.3"
"15","98","Australia Barry Singleton","Chevron B24 Chevrolet 5.0L V8","Barry Singleton Motors Pty Ltd","1:12.2","+11.3"
"16","4","Australia Gary Dumbrell","McRae GM1 Chevrolet 5.0L V8","Wynne's Friction Proof Racing","1:12.7","+11.8"
"17","34","Australia Colin Trengrove","Lola T330 Chevrolet 5.0L V8","Trengrove Racing Cars","1:22.7","+21.8"
"18","14","Australia Bronwyn Taylor","Matich A50 Repco Holden 5.0L V8","Bronwyn Taylor","1:39.3","+38.4"
"19","18","Australia Ian Adams","Lola T330 Chevrolet 5.0L V8","I Adams","DNP",""
