"Ranking","Player","Uzbek League","Uzbek Cup","AFC Cup","Total"
"1","Montenegro Ivan Bošković","4","","10","14"
"2","Latvia Andrejs Perepļotkins","7","1","4","12"
"3","Turkmenistan Artur Gevorkyan","6","1","4","11"
"4","Uzbekistan Nosirbek Otakuziev","6","","5","11"
"5","Uzbekistan Ilkhom Shomurodov","5","2","3","10"
"6","Uzbekistan Shuhrat Mirkholdirshoev","2","2","2","6"
"7","Uzbekistan Lutfulla Turaev","2","","4","6"
"8","Uzbekistan Jahongir Jiyamuradov","3","1","1","5"
"9","Uzbekistan Ilhom Yunusov","2","","2","4"
"10","Uzbekistan Zafar Polvonov","","3","","3"
