"Member","Country","Since","Until","Notes"
"Mario Lucchesi-Palli","Italy","1894","1894",""
"Demetrios Vikelas","Greece","1894","1897","President (1894–1896)"
"Arthur Russell, 2nd Baron Ampthill","Great Britain","1894","1898",""
"Alexei de Butowski","Russian Empire","1894","1900",""
"Leonard A. Cuff","New Zealand","1894","1905",""
"Charles Herbert","Great Britain","1894","1906",""
"José Benjamín Zubiaur","Argentina","1894","1907",""
"Ferenc Kemény","Austria-Hungary Austria-Hungary","1894","1907","First Secretary (1895–1907)"
"Ernest Callot","France","1894","1913","Treasurer (1894–1895)"
"Viktor Balck","Sweden Sweden-Norway","1894","1921",""
"William Milligan Sloane","United States","1894","1924",""
"Baron Pierre de Coubertin","France","1894","1925","President (1896–1925)"
"Jiří Guth-Jarkovský","Bohemia","1894","1943",""
