"Year","Length overall in meters","Name","Picture","Reference"
"2006","36.57","Vanquish","",""
"2006","37.5","BB3","",""
"2007","45.72","Grey Matters","",""
"2007","41.5","Dragon","",""
"2007","45.97","Hokulani","",""
"2007","41.5","Waverunner","",""
"2008","41.1","Plus Too","",""
"2008","36.57","Izumi","",""
"2008","45.97","Four Jacks","",""
"2008","37.5","Blacksheep","",""
"2008","45.7","Clifford II","",""
"2008","36.57","Vitamin","",""
"2009","45.7","Blue Ice","",""
"2009","45.7","Oneness","",""
"2009","41.1","Domino","",""
"2010","52.2","DB9","",""
"2010","45.7","Vantage","",""
"2012","41.1","Griffin","",""
"2013","65","Lady M","",""
"2014","48","Khalilah","",""
"2014","52.2","Bliss","",""
"2016","52.2","Sanam","",""
