"","Country","Airport","City","2017"
"1","South Africa","O. R. Tambo International Airport","Johannesburg","21,180,060"
"2","Egypt","Cairo International Airport","Cairo","15,959,076"
"3","South Africa","Cape Town International Airport","Cape Town","10,693,063"
"4","Ethiopia","Bole International Airport","Addis Ababa","10,072,828"
"5","Morocco","Mohammed V International Airport","Casablanca","9,357,427"
"6","Algeria","Houari Boumediene Airport","Algiers","7,823,634"
"7","Kenya","Jomo Kenyatta International Airport","Nairobi","7,039,175"
"8","Nigeria","Murtala Muhammed International Airport","Lagos","6,367,478"
"9","Tunisia","Tunis-Carthage Airport","Tunis","5,691,037"
"10","South Africa","King Shaka International Airport","Durban","5,527,747"
"11","Egypt","Hurghada International Airport","Hurghada","4,730,232"
"12","Morocco","Marrakesh Menara Airport","Marrakesh","4,359,865"
"13","Mauritius","Sir Seewoosagur Ramgoolam International Airport","Port Louis","3,588,777"
"14","Nigeria","Nnamdi Azikiwe International Airport","Abuja","3,462,830"
"15","Egypt","Sharm El Sheikh International Airport","Sharm El Sheikh","2,985,035"
"16","France","Roland Garros Airport","Saint-Denis, Réunion","2,293,242"
"17","Egypt","Borg El Arab Airport","Alexandria","2,207,723"
"18","Senegal","Léopold Sédar Senghor International Airport","Dakar","2,114,269"
"19","Ivory Coast","Félix-Houphouët-Boigny International Airport","Abidjan","2,070,000"
"20","Algeria","Ahmed Ben Bella Airport","Oran","1,938,373"
"21","South Africa","Port Elizabeth International Airport","Port Elizabeth","1,620,705"
"22","Morocco","Agadir–Al Massira Airport","Agadir","1,544,160"
"23","Uganda","Entebbe International Airport","Kampala","1,530,031"
"24","Tunisia","Djerba–Zarzis International Airport","Djerba","1,354,502"
"25","Morocco","Fès–Saïs Airport","Fez","1,115,595"
