"Series no.","Season no.","Title","Director","Writer","Original airdate"
"1","1","%INLINEQ%I Got a Girlfriend!%INLINEQ% Transcription: %INLINEQ%Kanojo, Dekimashita!%INLINEQ% (Japanese: 彼女、できました!)","Taro Kubo","Takao Yoshioka","January 6, 2012"
"2","2","%INLINEQ%I'm Done Being Human!%INLINEQ% Transcription: %INLINEQ%Ningen, Yamemashita!%INLINEQ% (Japanese: 人間、やめました!)","Kazuhide Kondo","Takao Yoshioka","January 13, 2012"
"3","3","%INLINEQ%I Made a Friend!%INLINEQ% Transcription: %INLINEQ%Tomodachi, Dekimashita!%INLINEQ% (Japanese: 友達、できました!)","Kosuke Kobayashi","Takao Yoshioka","January 20, 2012"
"4","4","%INLINEQ%I'm Saving My Friend!%INLINEQ% Transcription: %INLINEQ%Tomodachi, Sukuimasu!%INLINEQ% (Japanese: 友達、救います!)","Masayuki Iimura","Takao Yoshioka","January 27, 2012"
"5","5","%INLINEQ%I Will Defeat My Ex-girlfriend!%INLINEQ% Transcription: %INLINEQ%Motokano, Taoshimasu!%INLINEQ% (Japanese: 元カノ、倒します!)","Tetsuya Yanagisawa","Takao Yoshioka","February 3, 2012"
"6","6","%INLINEQ%I Work as a Devil!%INLINEQ% Transcription: %INLINEQ%Akuma, Yattemasu!%INLINEQ% (Japanese: アクマ、やってます!)","Akira Shimizu","Takao Yoshioka","February 10, 2012"
"7","7","%INLINEQ%I Get a Familiar!%INLINEQ% Transcription: %INLINEQ%Tsukaima, Getto Shimasu!%INLINEQ% (Japanese: 使い魔、ゲットします!)","Takenori Mihara","Takao Yoshioka","February 17, 2012"
"8","8","%INLINEQ%I Pick a Fight!%INLINEQ% Transcription: %INLINEQ%Kenka, Urimasu!%INLINEQ% (Japanese: 喧嘩、売ります!)","Koji Kobayashi","Takao Yoshioka","February 24, 2012"
"9","9","%INLINEQ%I've Begun My Training!%INLINEQ% Transcription: %INLINEQ%Shugyō, Hajimemashita!%INLINEQ% (Japanese: 修行、はじめました!)","Kosuke Kobayashi","Takao Yoshioka","March 2, 2012"
"10","10","%INLINEQ%The Showdown Begins!%INLINEQ% Transcription: %INLINEQ%Kessen, Hajimarimasu!%INLINEQ% (Japanese: 決戦、始まります!)","Masayuki Iimura","Takao Yoshioka","March 9, 2012"
"11","11","%INLINEQ%The Acclaimed Battle Continues!%INLINEQ% Transcription: %INLINEQ%Zessan, Kessenchū desu!%INLINEQ% (Japanese: 絶賛、決戦中です!)","Taro Kubo","Takao Yoshioka","March 16, 2012"
"12","12","%INLINEQ%I'm Here to Keep My Promise!%INLINEQ% Transcription: %INLINEQ%Yakusoku, Mamori ni Kimashita!%INLINEQ% (Japanese: 約束、守りに来ました！)","Tetsuya Yanagisawa","Takao Yoshioka","March 23, 2012"
