"Rank","University","State","NCAA","Gold","Silver","Bronze","Total","Reference & Remarks"
"1","University of Southern California","California","Div I","144","93","72","309",""
"2","Stanford University","California","Div I","139","73","58","270",""
"3","University of California, Los Angeles","California","Div I","123","54","56","233","This count is fewer than UCLA's official count because UCLA's official count also includes coaches, managers, etc."
"4","University of California, Berkeley","California","Div I","117","51","39","207",""
"5","University of Michigan","Michigan","Div I","68","39","37","144","This count is fewer than Michigan's official count because Michigan's official count also includes coaches, staff, etc."
"6","University of Texas, Austin","Texas","Div I","83","38","22","143",""
"7","University of Florida","Florida","Div I","60","33","33","126",""
"8","Harvard University","Massachusetts","Div I","46","41","21","108",""
"9","Yale University","Connecticut","Div I","51","26","30","107","The two "official counts" of Yale are both incomplete. The first count includes non-athlete medals and does not include 2012 Olympics, while the second one mistakenly takes some coaches as athletes."
"10 (Tie)","Indiana University Bloomington","Indiana","Div I","55","17","32","104",""
"10 (Tie)","Ohio State University","Ohio","Div I","46","35","23","104",""
