"Year","Winner","Age","Jockey","Trainer","Owner","Time"
"2018","Hogy","9","Irad Ortiz Jr","Michael J. Maker","Michael M. Hui","1:32.11"
"2017","Heart to Heart","6","Julien Leparoux","Brian A. Lynch","Terry Hamilton","1:32.63"
"2016","Heart to Heart","5","Julien Leparoux","Brian A. Lynch","Terry Hamilton","1:33.52"
"2015","Long on Value","4","Joel Rosario","William I. Mott","Wachtel Stable/Kerr","1:34.26"
"2014","Reload","5","Javier Castellano","Claude R. McGaughey III","Phipps Stable","1:32.34"
"2013","Data Link","5","Javier Castellano","Claude R. McGaughey III","Stuart S. Janney, III","1:33.01"
"2012","Doubles Partner","5","Julien Leparoux","Todd Pletcher","WinStar Farm","1:32.56"
"2011","Little Mike","4","Joe Bravo","Dale Romans","Priscilla Vaccarezza","1:32.37"
"2010","Courageous Cat","4","Garrett Gomez","William I. Mott","Pam & Martin Wygod","1:31.58"
"2009","Twilight Meteor","5","John Velazquez","Todd Pletcher","Peachtree Stable","1:34.31"
"2008","Host","8","John Velazquez","Tom Albertrani","Eugene Melnyk","1:39.85"
"2007","Giant Wrecker","5","Javier Castellano","Mark A. Hennig","Edward P. Evans","1:39.70"
"2006","English Channel","4","John R. Velazquez","Todd A. Pletcher","James T. Scatuorchio","1:39.13"
"2005","Old Forester","4","Eibar Coa","William I. Mott","Live Oak Plantation Racing","1:38.20"
"2004","Newfoundland","4","John R. Velazquez","Todd A. Pletcher","Sumaya Us Stable","1:44.90"
"2003","Political Attack","4","Mark Guidry","Michael Matz","Fitz Eugene Dixon Jr.","1:40.43"
"2002","North East Bound","6","Jose Velez, Jr.","William W. Perry","Julian Demarco/Richard Disano","1:44.01"
"2001","Inexplicable","6","Jose Santos","Christophe Clement","Lucy Young-Boutin","1:39.43"
"2000","Shamrock City","5","Edgar Prado","Mohammed Moubarak","Buckram Oak Farm","1:47.15"
