"","Games","FGM-FGA","Pct (field goals)","FTM-FTA","Pct (free throws)","Pts/Avg"
"Dick Boushka","8","27-68",".397","10-10","1.000","64/8.0"
"Carl Cain","2","1-5",".200","1-2",".500","3/1.5"
"Charles Darling","8","22-44",".500","12-15",".800","56/9.3"
"William Evans","8","21-55",".382","12-18",".667","54/6.8"
"Gilbert Ford","8","17-44",".386","5-7",".714","39/4.9"
"Burdette Haldorson","8","28-58",".483","13-15",".867","69/8.6"
"Bill Hougland","8","20-51",".392","6-6","1.000","46/5.8"
"Robert Jeangerard","8","45-74",".608","10-11",".909","100/12.5"
"K. C. Jones","8","32-75",".427","23-27",".852","87/10.9"
"Bill Russell","8","46-96",".479","21-27",".778","113/14.1"
"Ron Tomsic","8","34-92",".370","21-25",".840","89/11.1"
"Jim Walsh","9","27-61",".443","19-21",".905","73/9.1"
