"Year","Team","League","GP","GAA","SV%"
"2005-06","Ankat","2. Divisioona","18","4.20",".893"
"2006-07","Ankat","2. Divisioona","7","3.00",".917"
"","Ketterä","Suomi-sarja","8","5.28",".883"
"2007-08","Ketterä","Suomi-sarja","28","3.96",".897"
"2008-09","Ketterä","Suomi-sarja","34","2.96",".911"
"2009-10","RoKi","Mestis","12","3.89",".850"
"","Kiekko-Laser","Suomi-sarja","9","2.78",".910"
"2010-11","Kiekko-Vantaa","Mestis","37","2.58",".922"
"2011-12","HIFK","SM-liiga","7","1.70",".944"
"","Kiekko-Vantaa (on loan)","Mestis","12","2.72",".913"
"","KooKoo (on loan)","Mestis","4","1.97",".941"
"2012-13","HIFK","SM-liiga","11","2.65",".905"
"","HCK (on loan)","Mestis","8","2.94",".918"
"","KooKoo (on loan)","Mestis","1","4.00",".902"
"2013-14","Timrå IK","HockeyAllsvenskan","11","1.59",".941"
