"Rank","Name","Nationality","# 1","# 2","# 3","# 4","# 5","# 6","Mark","Notes"
"","Paweł Fajdek","Poland (POL)","76.40","x","80.64","80.88","79.34","78.29","80.88",""
"","Dilshod Nazarov","Tajikistan (TJK)","76.83","77.61","76.17","78.06","78.55","76.60","78.55",""
"","Wojciech Nowicki","Poland (POL)","76.14","76.73","77.20","x","75.80","78.55","78.55",""
"4","Krisztián Pars","Hungary (HUN)","76.33","75.98","77.32","x","76.40","77.05","77.32",""
"5","Sergej Litvinov","Russia (RUS)","70.75","77.09","77.24","x","77.04","x","77.24","SB"
"6","David Söderberg","Finland (FIN)","76.92","74.75","75.70","75.48","75.32","75.19","76.92","SB"
"7","Mostafa Al-Gamel","Egypt (EGY)","74.70","76.25","76.81","x","x","75.77","76.81",""
"8","Marcel Lomnický","Slovakia (SVK)","73.71","74.36","75.62","75.79","75.72","74.82","75.79",""
"9","Ashraf Amgad Elseify","Qatar (QAT)","x","72.90","74.09","","","","74.09",""
"10","Tuomas Seppänen","Finland (FIN)","x","71.85","73.18","","","","73.18",""
"11","Nick Miller","Great Britain & N.I. (GBR)","x","x","72.94","","","","72.94",""
"12","Roberto Janet","Cuba (CUB)","x","72.50","71.79","","","","72.50",""
