"Rank","Athlete","Nationality","#1","#2","#3","#4","#5","#6","Result","Notes"
"","Christina Schwanitz","Germany (GER)","19.80","20.00","20.37","x","20.10","x","20.37",""
"","Gong Lijiao","China (CHN)","20.30","20.05","20.25","x","x","19.91","20.30",""
"","Michelle Carter","United States (USA)","19.45","19.76","18.57","18.85","19.48","19.71","19.76",""
"4","Anita Márton","Hungary (HUN)","18.02","18.23","18.06","19.48","18.89","19.11","19.48","NR"
"5","Gao Yang","China (CHN)","18.15","18.09","17.84","19.04","x","x","19.04","PB"
"6","Aliona Dubitskaya","Belarus (BLR)","18.21","x","18.52","17.43","x","x","18.52",""
"7","Yuliya Leantsiuk","Belarus (BLR)","17.38","18.25","17.67","17.85","x","17.85","18.25",""
"8","Natallia Mikhnevich","Belarus (BLR)","17.05","18.09","17.75","18.11","17.79","18.24","18.24",""
"9","Natalia Ducó","Chile (CHI)","17.94","17.95","17.98","","","","17.98",""
"10","Jeneva Stevens","United States (USA)","16.79","17.44","17.84","","","","17.84",""
"11","Paulina Guba","Poland (POL)","17.04","17.52","17.11","","","","17.52",""
"12","Cleopatra Borel","Trinidad and Tobago (TTO)","17.43","x","16.85","","","","17.43",""
