"Nr","Island","Capital","Other Cities","Area (km²)","Population"
"1","St. Vincent Group","Kingstown","Georgetown, Byera Village, Biabou, Chateaubelair,","342.8","109010"
"1.1","St. Vincent Island","Kingstown","Georgetown, Byera Village, Biabou, Chateaubelair,","342.7","109000"
"1.2","Young Island","Young Island dock","Ilha de Forte, South Point, Sunset Point","0.07","10"
"1.3","Other Islands","Cow And Calves Islands","","0.03","0"
"2","Grenadines (Northern)","Port Elizabeth","Dover, Derrick, Ashton, Bednoe, Charlestown, Cheltenham, Clifton, Friendship, Lovell, Old Wall, Paget Farm, Hamilton","47.23","11000"
"2.1","Bequia","Port Elizabeth","Hamilton, Belmont, Paget Farm, Derrick","17.00","5900"
"2.2","Petite Nevis","Eileen Corea mansion","","0.29","0"
"2.3","Quatre","Grand Bay","Mitchell mansion","1.52","0"
"2.4","Bettowia","Landing point","","0.71","0"
"2.5","Baliceaux","Landing Bay","","1.29","0"
"2.6","Mustique","Lovell","Britannia bay, Dover,","5.70","800"
"2.7","Petite Mustique","","","0.40","0"
"2.8","Savan","North Point","","0.11","0"
"2.9","Petite Canouan","","","0.20","0"
"2.10","Canouan","Charlestown","nen’s bay, Glossy, Taffia, Friendship, Barbruce, Riley bay, Carenage, Mysore bay, mahault bay, L’Ance guyac, cato bay,","7.60","1200"
"2.11","Mayreau","Old Wall","L’Ance bandeau, saltwhistle bay, saline bay, windward bay,","2.10","280"
"2.12","Tobago Cays","","Petit Bateau, Petit Rameau, Baradol, Jamesby, Petit Tabac","0.25","0"
"2.13","Union Island","Clifton","Ashton,","9.00","2700"
"2.14","Mopion","","","0.002","0"
"2.15","Petit Saint Vincent","telescope hill","west end beach, Caribbean beach, windy hill, windy harbor, Cross Point, Chevalier Point, atlantic beach, Conch Bay","0.46","80"
"2.16","Palm Island","Cactus Hill","Sunset grill beach, north beach,","0.54","30"
"2.17","Other Islands","","Pigeon Island, Pillories Islands, Rabbit island, Dove cay, Catholic Island, Punaise","0.06","0"
"","Saint Vincent and the Grenadines","Kingstown","Georgetown, Byera Village, Biabou, P. Elizabeth, Chateaubelair,","390","120000"
