"Date","Opponent","Result","Attendance","Rank"
"April 18, 2019","Washington Capitals","W (2–1)","19,202","1"
"June 8, 2002","Detroit Red Wings","OTL (2–3)","18,982","2"
"June 19, 2006","Edmonton Oilers","W (3–1)","18,978","3"
"April 22, 2019","Washington Capitals","W (5–2)","18,913","4"
"May 8, 2009","Boston Bruins","W (4–1)","18,878","5"
"May 23, 2009","Pittsburgh Penguins","L (2–6)","18,789","6"
"April 15, 2019","Washington Capitals","W (5–0)","18,783","7"
"October 4, 2018","New York Islanders","OTL (1–2)","18,680","8"
"October 29, 1999","New Jersey Devils","L (2–4)","18,680","9"
"April 22, 2001","New Jersey Devils","L (1–5)","18,680","10"
