"Draw","Country","Artist","Song","Language","Place","Points"
"01","Poland","Justyna","%INLINEQ%Sama%INLINEQ%","Polish","18","15"
"02","Ireland","Eddie Friel","%INLINEQ%Dreamin'%INLINEQ%","English","14","44"
"03","Germany","Stone & Stone","%INLINEQ%Verliebt in Dich%INLINEQ%","German","23","1"
"04","Bosnia and Herzegovina","Davorin Popović","%INLINEQ%Dvadeset prvi vijek%INLINEQ%","Bosnian","19","14"
"05","Norway","Secret Garden","%INLINEQ%Nocturne%INLINEQ%","Norwegian","1","148"
"06","Russia","Philipp Kirkorov","%INLINEQ%Kolybelnaya dlya vulkana%INLINEQ% (Колыбельная для вулкана)","Russian","17","17"
"07","Iceland","Bo Halldórsson","%INLINEQ%Núna%INLINEQ%","Icelandic","15","31"
"08","Austria","Stella Jones","%INLINEQ%Die Welt dreht sich verkehrt%INLINEQ%","German","13","67"
"09","Spain","Anabel Conde","%INLINEQ%Vuelve conmigo%INLINEQ%","Spanish","2","119"
"10","Turkey","Arzu Ece","%INLINEQ%Sev%INLINEQ%","Turkish","16","21"
"11","Croatia","Magazin & Lidija","%INLINEQ%Nostalgija%INLINEQ%","Croatian","6","91"
"12","France","Nathalie Santamaria","%INLINEQ%Il me donne rendez-vous%INLINEQ%","French","4","94"
"13","Hungary","Csaba Szigeti","%INLINEQ%Új név a régi ház falán%INLINEQ%","Hungarian","22","3"
"14","Belgium","Frédéric Etherlinck","%INLINEQ%La voix est libre%INLINEQ%","French","20","8"
"15","United Kingdom","Love City Groove","%INLINEQ%Love City Groove%INLINEQ%","English","10","76"
"16","Portugal","Tó Cruz","%INLINEQ%Baunilha e chocolate%INLINEQ%","Portuguese","21","5"
"17","Cyprus","Alexandros Panayi","%INLINEQ%Sti fotia%INLINEQ% (Στη φωτιά)","Greek","9","79"
"18","Sweden","Jan Johansen","%INLINEQ%Se på mig%INLINEQ%","Swedish","3","100"
"19","Denmark","Aud Wilken","%INLINEQ%Fra Mols til Skagen%INLINEQ%","Danish","5","92"
"20","Slovenia","Darja Švajger","%INLINEQ%Prisluhni mi%INLINEQ%","Slovene","7","84"
"21","Israel","Liora","%INLINEQ%Amen%INLINEQ% (אמן)","Hebrew","8","81"
"22","Malta","Mike Spiteri","%INLINEQ%Keep Me In Mind%INLINEQ%","English","10","76"
"23","Greece","Elina Konstantopoulou","%INLINEQ%Pia prosefhi%INLINEQ% (Ποια προσευχή)","Greek","12","68"
