"Season","Class","Team","Number","Motorcycle","Race","Win","Podium","Pole","FLap","Points","Placed"
"2002","125cc","Semprucci Angaia Racing","20","Honda","16","0","0","0","0","0","–"
"2003","125cc","Team Hungary","25","Honda Seel","16","0","0","0","0","0","–"
"2004","125cc","Team Hungary","25","Aprilia","16","0","0","0","0","6","29th"
"2005","125cc","Road Racing Team Hungary","45","Aprilia","16","0","0","0","0","7","28th"
"2006","125cc","Team Tóth","45","Aprilia","16","0","0","0","0","0","–"
"2007","250cc","Team Tóth Aprilia","10","Aprilia","17","0","0","0","0","2","28th"
"2008","250cc","Team Tóth Aprilia","10","Aprilia","16","0","0","0","0","9","20th"
"2009","250cc","Team Tóth Aprilia","10","Aprilia","16","0","0","0","0","12","22nd"
"Best","","","","","","0","0","0","0","12","20th"
"Total","","","","","114","0","0","0","0","24",""
