"No.","Season","Bowl","Opponent","Result"
"1","1944","Cotton Bowl Classic","TCU","W 34–0"
"2","1945","Sugar Bowl","St. Mary's","W 33–13"
"3","1948","Delta Bowl","William & Mary","L 0–20"
"4","1958","Bluegrass Bowl","Florida State","W 15–6"
"5","1974","Fiesta Bowl","BYU","W 16–6"
"6","1976","Tangerine Bowl","BYU","W 49–21"
"7","1981","Independence Bowl","Texas A&M","L 16–33"
"8","1983","Astro-Bluebonnet Bowl","Baylor","W 24–14"
"9","1984","Gator Bowl","South Carolina","W 21–14"
"10","1985","Gator Bowl","Florida State","L 23–34"
"11","1987","Sun Bowl","West Virginia","W 35–33"
"12","1988","Holiday","Wyoming","W 62–14"
"13","1997","Alamo Bowl","Purdue","L 20–33"
"14","2002","Houston Bowl","Southern Miss","W 33–23"
"15","2003","Cotton Bowl Classic","Ole Miss","L 28–31"
"16","2004","Alamo Bowl","Ohio State","L 7–33"
"17","2006","Independence Bowl","Alabama","W 34–31"
"18","2007","Insight","Indiana","W 49–33"
"19","2008","Holiday Bowl","Oregon","L 31–42"
"20","2009","Cotton Bowl Classic","Ole Miss","L 7–21"
"21","2010","Alamo Bowl","Arizona","W 36–10"
"22","2011","Fiesta Bowl","Stanford","W 41–38OT"
"23","2012","Heart Of Dallas Bowl","Purdue","W 58–14"
"24","2013","Cotton Bowl Classic","Missouri","L 31–41"
"25","2014","Cactus Bowl","Washington","W 30–22"
"26","2015","Sugar Bowl","Ole Miss","L 20–48"
"27","2016","Alamo Bowl","Colorado","W 38–8"
"28","2017","Camping World Bowl","Virginia Tech","W 30–21"
"29","2018","Liberty Bowl","Missouri","W 38–33"
