"State","Contestant","Age","Height (m)","Hometown"
"Aguascalientes","Estefanía Herrera García","20","1.78","Aguascalientes"
"Aguascalientes","Gabriela Palacio Díaz De León","21","1.76","Aguascalientes"
"Baja California","Nancy Marisol Galaz Piceno","22","1.72","Tijuana"
"Baja California Sur","Karen Alicia Higuera Contreras","19","1.82","La Paz"
"Campeche","Michelle Arjona Hernández","18","1.73","Campeche"
"Coahuila","Cecilia Flores Nogueira","23","1.78","Torreón"
"Chiapas","Adriana Grissel Hernández Cáseres","22","1.80","Tecpatán"
"Chihuahua","Pamela Olivas Chaparro","23","1.78","Chihuahua"
"Distrito Federal","Lucía Del Cueto Dávalos","23","1.76","Mexico City"
"Durango","Vanessa Crispín Herrera","19","1.70","Gómez Palacio"
"Guanajuato","Helena Estefanía Baca Anaya","19","1.74","León"
"Guerrero","Suslim Patrón Jiménez","20","1.72","Chilpancingo"
"Jalisco","Karin Cecilia Ontiveros Meza","22","1.80","Amatitán"
"Jalisco","Eunice Guadalupe Sánchez Valencia","18","1.77","Guadalajara"
"Michoacán","Karla Paulina Gutiérrez García","21","1.80","Morelia"
"Morelos","Melissa Carolina Torres Ruiz","20","1.72","Cuernavaca"
"Nayarit","Ana Priscila Zárate Cortez","18","1.70","Tepic"
"Nuevo León","Cynthia Alejandra De la Vega Oates","18","1.80","Monterrey"
"Oaxaca","Alejandra Díaz Scherenberg","22","1.69","Oaxaca"
"Puebla","Ana Laura Gallardo Parada","20","1.68","Puebla"
"Querétaro","María Perusquía Flores","20","1.73","Querétaro"
"San Luis Potosí","Carmen Isabel Hernández Chávez","20","1.78","San Luis Potosi"
"San Luis Potosí","Ana Paola Lastras Villaseñor","22","1.76","San Luis Potosi"
"Sinaloa","Tiaré Kristal Oliva Elguezabal","18","1.78","Topolobampo"
"Sonora","Erika Bernal López","19","1.79","Hermosillo"
"Sonora","Jessica María Lerma Palomares","19","1.79","Huatabampo"
"Tabasco","Ana Lilia Lucamendi González","18","1.74","Villahermosa"
"Tamaulipas","Claudia Maribel González Elizondo","22","1.76","Cd. Victoria"
"Veracruz","Diana Estefanía Botello Meza","22","1.74","Boca del Río"
"Yucatán","María Fernanda López Cuéllar","22","1.76","Mérida"
"Zacatecas","Stephanie Ávila Enciso","19","1.73","Jerez"
