"Municipality","Cyrillic","Pop.","Town/Village","Pop."
"Aksakovo","Аксаково","21,919","Aksakovo","7,897"
"Avren","Аврен","9,089","Avren","750"
"Beloslav","Белослав","11,257","Beloslav","7,937"
"Byala","Бяла","3,729","Byala","2,171"
"Dolni Chiflik","Долни чифлик","19,316","Dolni Chiflik","6,706"
"Devnya","Девня","9,234","Devnya","8,383"
"Dalgopol","Дългопол","14,364","Dalgopol","4,829"
"Provadia","Провадия","23,045","Provadia","12,901"
"Suvorovo","Суворово","7,544","Suvorovo","4,723"
"Valchi Dol","Вълчи дол","11,093","Valchi Dol","3,460"
"Varna","Варна","329,173","Varna","320,837"
"Vetrino","Ветрино","5,702","Vetrino","1,036"
