"Rank","Heat","Name","Nationality","Time","Notes"
"1","1","LaShawn Merritt","United States (USA)","44.76","Q"
"2","3","Jermaine Gonzales","Jamaica (JAM)","44.99","Q"
"3","1","Kévin Borlée","Belgium (BEL)","45.02","Q"
"4","3","Jonathan Borlée","Belgium (BEL)","45.14","Q"
"5","3","Rondell Bartholomew","Grenada (GRN)","45.17","q"
"6","2","Kirani James","Grenada (GRN)","45.20","Q"
"7","3","Femi Seun Ogunode","Qatar (QAT)","45.41","q, SB"
"8","1","Rabah Yousif","Sudan (SUD)","45.43",""
"9","3","Greg Nixon","United States (USA)","45.51",""
"10","2","Tabarie Henry","U.S. Virgin Islands (ISV)","45.53","Q"
"11","2","Chris Brown","Bahamas (BAH)","45.54",""
"12","3","Pavel Trenikhin","Russia (RUS)","45.68",""
"13","1","Renny Quow","Trinidad and Tobago (TRI)","45.72",""
"14","2","Jamaal Torrance","United States (USA)","45.73",""
"15","3","Demetrius Pinder","Bahamas (BAH)","45.87",""
"16","1","Ramon Miller","Bahamas (BAH)","45.88",""
"17","2","Nery Brenes","Costa Rica (CRC)","45.93",""
"18","2","Marcin Marciniszyn","Poland (POL)","45.94",""
"19","2","Martyn Rooney","Great Britain & N.I. (GBR)","46.09",""
"20","1","Yuzo Kanemaru","Japan (JPN)","46.11",""
"21","1","William Collazo","Cuba (CUB)","46.13",""
"22","3","Oscar Pistorius","South Africa (RSA)","46.19",""
"23","1","Erison Hurtault","Dominica (DMA)","46.41",""
"24","2","Riker Hylton","Jamaica (JAM)","46.99",""
