"","Municipality","Administrative centre","Area (km2)","Population (Census 2001)","Population (Census 2011)","Population Estimate 30 June 2016"
"1.","Acevedo","Caucagua","1,879","70,282","87,371","96,210"
"2.","Andrés Bello","San José de Barlovento","114","20,119","20,981","22,851"
"3.","Baruta","Nuestra Señora del Rosario de Baruta","86","260,853","240,755","362,371"
"4.","Brión","Higuerote","531","45,346","58,940","67,332"
"5.","Buroz","Mamporal","198","20,009","27,515","29,841"
"6.","Carrizal","Carrizal","32","41,103","51,712","56,629"
"7.","Chacao","Chacao","13","64,629","61,213","76,888"
"8.","Cristóbal Rojas","Charallave","120","77,257","117,888","141,593"
"9.","El Hatillo","El Hatillo","81","54,225","58,156","90,554"
"10.","Guaicaipuro","Los Teques","661","222,768","252,242","289,531"
"11.","Independencia","Santa Teresa del Tuy","284","126,999","138,776","157,961"
"12.","Lander","Ocumare del Tuy","478","108,970","144,947","170,728"
"13.","Los Salias","San Antonio de los Altos","51","60,723","68,255","76,035"
"14.","Páez","Río Chico","963","30,812","37,944","42,125"
"15.","Paz Castillo","Santa Lucía","408","83,976","111,197","124,671"
"16.","Pedro Gual","Cúpira","925","17,928","21,831","23,879"
"17.","Plaza","Guarenas","180","188,135","209,987","238,750"
"18.","Simón Bolívar","San Francisco de Yare","131","31,944","42,597","48,445"
"19.","Sucre","Petare","164","546,766","600,351","691,317"
"20.","Urdaneta","Cúa","273","105,606","135,432","167,768"
"21.","Zamora","Guatire","378","152,422","187,075","218,911"
"","Total state","Los Teques","7,950","","2,675,165","3,194,390"
