"Rank","Building","City","Height","Floors","Built"
"1","Solo Sokos Hotel Torni Tampere","Tampere","88 m (289 ft)","25","2014"
"2","Cirrus","Helsinki","86 m (282 ft)","26","2006"
"3","Niittyhuippu","Espoo","85 m (279 ft)","24","2017"
"4","Fortum head office","Espoo","84 m (276 ft)","20","1976"
"5","Itäkeskuksen maamerkki","Helsinki","82 m (269 ft)","19","1987"
"6","Clarion Hotel Helsinki","Helsinki","78 m (256 ft)","19","2016"
"7","Kone Building","Espoo","73 m (240 ft)","18","2001"
"8","Panorama Tower","Espoo","73 m (240 ft)","17","2008"
"9","Luminary","Tampere","71 m (233 ft)","21","2018"
"10","Meritorni","Espoo","70 m (230 ft)","22","1999"
"11","Pitäjänmäki Tower","Helsinki","70 m (230 ft)","18","2001"
"12","Hotel Torni","Helsinki","70 m (230 ft)","13","1931"
"13","Leppävaaran Torni","Espoo","68 m (223 ft)","21","2010"
"14","Itämerentorni","Helsinki","66 m (217 ft)","18","2000"
"15","Reimarintorni","Espoo","66 m (217 ft)","18","1990"
"16","Haapaniemenkatu 7-9","Helsinki","65 m (213 ft)","19","1975"
"17","MicroTower","Kuopio","65 m (213 ft)","14","2004"
"18","Reimantorni","Espoo","63 m (207 ft)","18","2007"
"19","Hotel Ilves","Tampere","63 m (207 ft)","18","1986"
"20","Vuosaari Harbour Gatehouse","Helsinki","62 m (203 ft)","12","2008"
"21","Sellonhuippu","Espoo","61 m (200 ft)","19","1986"
