"Year","Date","Winner","Score","Loser","Score","Venue","Attendance","Winning Margin"
"1895","15 March 1896","Tipperary","0-4","Meath","0-3","Jones' Road","8,000","1"
"1939","24 September","Kerry","2-5","Meath","2-3","Croke Park","46,828","2"
"1949","25 September","Meath","1-10","Cavan","1-6","Croke Park","79,460","4"
"1951","23 September","Mayo","2-8","Meath","1-9","Croke Park","78,201","5"
"1952","28 September","Cavan","2-4","Meath","1-7","Croke Park","64,200","n/a (Draw)"
"1952","12 October","Cavan","0-9","Meath","0-5","Croke Park","62,515","4 (Replay)"
"1954","26 September","Meath","1-13","Kerry","1-7","Croke Park","75,276","6"
"1966","25 September","Galway","1-10","Meath","0-7","Croke Park","71,569","6"
"1967","24 September","Meath","1-9","Cork","0-9","Croke Park","70,343","3"
"1970","27 September","Kerry","2-19","Meath","0-18","Croke Park","71,775","7"
"1987","20 September","Meath","1-14","Cork","0-11","Croke Park","68,431","6"
"1988","18 September","Meath","0-12","Cork","1-9","Croke Park","65,000","n/a (Draw)"
"1988","9 October","Meath","0-13","Cork","0-12","Croke Park","64,069","1 (Replay)"
"1990","16 September","Cork","0-11","Meath","0-9","Croke Park","65,723","2"
"1991","15 September","Down","1-16","Meath","1-14","Croke Park","64,500","2"
"1996","15 September","Meath","0-12","Mayo","1-9","Croke Park","65,898","n/a (Draw)"
"1996","29 September","Meath","2-9","Mayo","1-11","Croke Park","65,802","1 (Replay)"
"1999","26 September","Meath","1-11","Cork","1-8","Croke Park","63,276","3"
"2001","23 September","Galway","0-17","Meath","0-8","Croke Park","70,482","9"
