"Year","# Finishers","Men's winner","Time (h:m:s)","Women's winner","Time (h:m:s)"
"2018","4678","Robert Chemonges (UGA)","2:09:05","Abeba-Tekulu Gebremeskel (ETH)","2:30:13"
"2017","4584","Jackson Limo (KEN)","2:11:34","Monica Jepkoech (KEN)","2:26:58"
"2016","4752","Samuel Mwaniki (KEN)","2:11:48","Loice Kiptoo (KEN)","2:29:13"
"2015","4558","Gilbert Koech (KEN)","2:14:04","Brigid Kosgei (KEN)","2:47:59"
"2014","4042","Workneh Fikre (ERI)","2:13:10","Marta Tigabea (ETH)","2:31:54"
"2013","2755","Joash Mutai (KEN)","2:13:04","Chaltu Waka (ETH)","2:37:47"
"2012","1668","Anthony Wairuri (KEN)","2:12:14","Abeba Gebremeskele (ETH)","2:39:51"
"2011","1545","Philemon Baaru (KEN)","2:09:51","Pauline Chepchumba (KEN)","2:41:24"
"2010","1180","Alex Kirui (KEN)","2:14:25","Beatrice Toroitich (KEN)","2:37:49"
"2009","857","Johnstone Changwony (KEN)","2:13:12","Priscah Jeptoo (KEN)","2:30:40"
"2008","583","Samuel Mugo (KEN)","2:11:08","Tirfi Tsegaye (ETH)","2:35:31"
"2007","412","Edwin Kimutai (KEN)","2:15:12","Marisa Barros (POR)","2:31:31"
"2006","373","Lawrence Saina (KEN)","2:09:52","Aureliana Edmundo (POR)","2:57:35"
"2005","310","Ruben Chepkwick (KEN)","2:22:27","Fátima Silva (POR)","2:45:09"
"2004","317","Steven Kiprotich (KEN)","2:13:57","Natália Pinto (POR)","2:58:09"
