"","Name","Nationality","position","total"
"1","Mehdi Rajabzadeh","Iran Iran","Forward","296"
"2","Ghasem Haddadifar","Iran Iran","Midfielder","285"
"3","Esmaeil Farhadi","Iran Iran","Forward","280"
"4","Rasoul Korbekandi","Iran Iran","Goalkeeper","265"
"5","Mohammad Salsali","Iran Iran","Defender","220"
"6","Sepehr Heidari","Iran Iran","Defender","175"
"7","Ali Akbar Ostad-Asadi","Iran Iran","Defender","164"
"8","Mohammad Mansouri","Iran Iran","Midfielder","155"
"9","Hassan Ashjari","Iran Iran","Defender","139"
"10","Morteza Tabrizi","Iran Iran","Forward","138"
